attack_type,attack_method,num_rows,breach_rate_pct,impact_mean
dodging_attack,SI_NI_FGSM,240,38.75,0.22347817623522134
dodging_attack,MI_FGSM,240,33.75,0.2050727789173834
dodging_attack,MI_ADMIX_DI_TI,240,30.416666666666664,0.1842024660979708
dodging_attack,TI_FGSM,240,26.666666666666668,0.15790024823509158
dodging_attack,PGD,240,22.083333333333332,0.1243080519993479
impersonation_attack,SI_NI_FGSM,240,24.166666666666668,0.1341469411932242
impersonation_attack,MI_FGSM,240,18.333333333333332,0.11849693735906232
impersonation_attack,MI_ADMIX_DI_TI,240,17.5,0.11763328509987331
impersonation_attack,TI_FGSM,240,13.333333333333334,0.10016784472391008
impersonation_attack,PGD,240,10.833333333333334,0.07790774629102087
