attacker_model,victim_model,attack_method,num_rows,breach_rate_pct,impact_mean
VGG-Face,Facenet512,TI_FGSM,30,40.0,0.3341071313247085
VGG-Face,Facenet512,PGD,30,33.33333333333333,0.2797618637792766
VGG-Face,GhostFaceNet,MI_ADMIX_DI_TI,30,36.666666666666664,0.11241065415864188
VGG-Face,GhostFaceNet,MI_FGSM,30,36.666666666666664,0.11882792559141912
VGG-Face,GhostFaceNet,SI_NI_FGSM,30,36.666666666666664,0.10937062914793688
VGG-Face,GhostFaceNet,TI_FGSM,30,30.0,0.09530451452980437
VGG-Face,GhostFaceNet,PGD,30,23.333333333333332,0.08601066442206501
VGG-Face,IR152,MI_ADMIX_DI_TI,30,13.333333333333334,0.1878174968684713
VGG-Face,IR152,SI_NI_FGSM,30,13.333333333333334,0.1598613101989031
VGG-Face,IR152,MI_FGSM,30,10.0,0.17292070357749859
VGG-Face,IR152,PGD,30,3.3333333333333335,0.10073638226216036
VGG-Face,IR152,TI_FGSM,30,0.0,0.13749226415529847
